spec,trinomial,sex
471,41cp5,female
592,41cp5,male
593,41cp5,male
594,41cp5,male
595,41cp5,female
598,41cp5,female
599,41cp5,female
601,41cp5,female
602,41cp5,male
603,41cp5,female
604,41cp5,male
605,41cp5,male
606,41cp5,male
607,41cp5,male
608,41cp5,male
609,41cp5,female
610,41cp5,male
611,41cp5,male
612,41cp5,male
613,41cp5,male
645,41cp5,female
646,41cp5,male
647,41cp5,male
648,41cp5,male
649,41cp5,female
650,41cp5,male
651,41cp5,female
652,41cp5,female
653,41cp5,female
654,41cp5,female
655,41cp5,male
656,41cp5,male
657,41cp5,female
658,41cp5,female
659,41cp5,female
660,41cp5,female
661,41cp5,female
BASSETT-davis1991-1,,BASSETT.type
BASSETT-davis1991-2,,BASSETT.type
BASSETT-davis1991-3,,BASSETT.type
BASSETT-davis1991-4,,BASSETT.type
BASSETT-davis1991-5,,BASSETT.type
BASSETT-davis1991-6,,BASSETT.type
BASSETT-davis1991-7,,BASSETT.type
BASSETT-davis1991-8,,BASSETT.type
BASSETT-davis1991-9,,BASSETT.type
PERDIZ-davis1991-1,,PERDIZ.type
PERDIZ-davis1991-2,,PERDIZ.type
PERDIZ-davis1991-3,,PERDIZ.type
PERDIZ-davis1991-4,,PERDIZ.type
PERDIZ-davis1991-5,,PERDIZ.type
PERDIZ-davis1991-6,,PERDIZ.type
PERDIZ-davis1991-7,,PERDIZ.type
PERDIZ-davis1991-8,,PERDIZ.type
PERDIZ-davis1991-9,,PERDIZ.type
BASSETT-turnerhester1999-1,,BASSETT.type
BASSETT-turnerhester1999-2,,BASSETT.type
BASSETT-turnerhester1999-3,,BASSETT.type
PERDIZ-turnerhester1999-1,,PERDIZ.type
PERDIZ-turnerhester1999-2,,PERDIZ.type
PERDIZ-turnerhester1999-3,,PERDIZ.type
PERDIZ-turnerhester1999-4,,PERDIZ.type
PERDIZ-turnerhester1999-5,,PERDIZ.type
BASSETT-turnerhester2011-1,,BASSETT.type
BASSETT-turnerhester2011-2,,BASSETT.type
BASSETT-turnerhester2011-3,,BASSETT.type
BASSETT-turnerhester2011-4,,BASSETT.type
BASSETT-turnerhester2011-5,,BASSETT.type
BASSETT-turnerhester2011-6,,BASSETT.type
BASSETT-turnerhester2011-7,,BASSETT.type
BASSETT-turnerhester2011-8,,BASSETT.type
BASSETT-turnerhester2011-9,,BASSETT.type
BASSETT-turnerhester2011-10,,BASSETT.type
BASSETT-turnerhester2011-11,,BASSETT.type
BASSETT-turnerhester2011-12,,BASSETT.type
PERDIZ-turnerhester2011-1,,PERDIZ.type
PERDIZ-turnerhester2011-2,,PERDIZ.type
PERDIZ-turnerhester2011-3,,PERDIZ.type
PERDIZ-turnerhester2011-4,,PERDIZ.type
PERDIZ-turnerhester2011-5,,PERDIZ.type
PERDIZ-turnerhester2011-6,,PERDIZ.type
PERDIZ-turnerhester2011-7,,PERDIZ.type
PERDIZ-turnerhester2011-8,,PERDIZ.type
PERDIZ-turnerhester2011-9,,PERDIZ.type
PERDIZ-turnerhester2011-10,,PERDIZ.type
PERDIZ-turnerhester2011-11,,PERDIZ.type
PERDIZ-turnerhester2011-12,,PERDIZ.type
BASSETT-suhmjelks1962-1,,BASSETT.type
BASSETT-suhmjelks1962-2,,BASSETT.type
BASSETT-suhmjelks1962-3,,BASSETT.type
BASSETT-suhmjelks1962-4,,BASSETT.type
BASSETT-suhmjelks1962-5,,BASSETT.type
BASSETT-suhmjelks1962-6,,BASSETT.type
BASSETT-suhmjelks1962-7,,BASSETT.type
BASSETT-suhmjelks1962-8,,BASSETT.type
BASSETT-suhmjelks1962-9,,BASSETT.type
BASSETT-suhmjelks1962-10,,BASSETT.type
BASSETT-suhmjelks1962-11,,BASSETT.type
BASSETT-suhmjelks1962-12,,BASSETT.type
BASSETT-suhmjelks1962-13,,BASSETT.type
BASSETT-suhmjelks1962-14,,BASSETT.type
BASSETT-suhmjelks1962-15,,BASSETT.type
PERDIZ-suhmjelks1962-1,,PERDIZ.type
PERDIZ-suhmjelks1962-2,,PERDIZ.type
PERDIZ-suhmjelks1962-3,,PERDIZ.type
PERDIZ-suhmjelks1962-4,,PERDIZ.type
PERDIZ-suhmjelks1962-5,,PERDIZ.type
PERDIZ-suhmjelks1962-6,,PERDIZ.type
PERDIZ-suhmjelks1962-7,,PERDIZ.type
PERDIZ-suhmjelks1962-8,,PERDIZ.type
PERDIZ-suhmjelks1962-9,,PERDIZ.type
PERDIZ-suhmjelks1962-10,,PERDIZ.type
PERDIZ-suhmjelks1962-11,,PERDIZ.type
PERDIZ-suhmjelks1962-12,,PERDIZ.type
PERDIZ-suhmjelks1962-13,,PERDIZ.type
PERDIZ-suhmjelks1962-14,,PERDIZ.type
PERDIZ-suhmjelks1962-15,,PERDIZ.type
PERDIZ-suhmkrieger1954-1,,PERDIZ.type
PERDIZ-suhmkrieger1954-2,,PERDIZ.type
PERDIZ-suhmkrieger1954-3,,PERDIZ.type
PERDIZ-suhmkrieger1954-4,,PERDIZ.type
PERDIZ-suhmkrieger1954-5,,PERDIZ.type
PERDIZ-suhmkrieger1954-6,,PERDIZ.type
PERDIZ-suhmkrieger1954-7,,PERDIZ.type
PERDIZ-suhmkrieger1954-8,,PERDIZ.type
PERDIZ-suhmkrieger1954-9,,PERDIZ.type
PERDIZ-suhmkrieger1954-10,,PERDIZ.type
PERDIZ-suhmkrieger1954-11,,PERDIZ.type
PERDIZ-suhmkrieger1954-12,,PERDIZ.type
PERDIZ-suhmkrieger1954-13,,PERDIZ.type
PERDIZ-suhmkrieger1954-14,,PERDIZ.type
PERDIZ-suhmkrieger1954-15,,PERDIZ.type
PERDIZ-suhmkrieger1954-16,,PERDIZ.type
PERDIZ-suhmkrieger1954-17,,PERDIZ.type
PERDIZ-suhmkrieger1954-18,,PERDIZ.type
PERDIZ-suhmkrieger1954-19,,PERDIZ.type
PERDIZ-suhmkrieger1954-20,,PERDIZ.type
PERDIZ-suhmkrieger1954-21,,PERDIZ.type
PERDIZ-suhmkrieger1954-22,,PERDIZ.type
PERDIZ-suhmkrieger1954-23,,PERDIZ.type
PERDIZ-suhmkrieger1954-24,,PERDIZ.type
PERDIZ-suhmkrieger1954-25,,PERDIZ.type
PERDIZ-suhmkrieger1954-26,,PERDIZ.type
PERDIZ-suhmkrieger1954-27,,PERDIZ.type
PERDIZ-suhmkrieger1954-28,,PERDIZ.type
PERDIZ-suhmkrieger1954-29,,PERDIZ.type
PERDIZ-suhmkrieger1954-30,,PERDIZ.type
BASSETT-suhmkrieger1954-1,,BASSETT.type
BASSETT-suhmkrieger1954-2,,BASSETT.type
BASSETT-suhmkrieger1954-3,,BASSETT.type
BASSETT-suhmkrieger1954-4,,BASSETT.type
BASSETT-suhmkrieger1954-5,,BASSETT.type
BASSETT-suhmkrieger1954-6,,BASSETT.type
BASSETT-suhmkrieger1954-7,,BASSETT.type
BASSETT-suhmkrieger1954-8,,BASSETT.type
BASSETT-suhmkrieger1954-9,,BASSETT.type
BASSETT-suhmkrieger1954-10,,BASSETT.type
BASSETT-suhmkrieger1954-11,,BASSETT.type
BASSETT-suhmkrieger1954-12,,BASSETT.type
BASSETT-suhmkrieger1954-13,,BASSETT.type
BASSETT-suhmkrieger1954-14,,BASSETT.type
BASSETT-suhmkrieger1954-15,,BASSETT.type
BASSETT-suhmkrieger1954-16,,BASSETT.type
BASSETT-suhmkrieger1954-17,,BASSETT.type
BASSETT-suhmkrieger1954-18,,BASSETT.type
BASSETT-suhmkrieger1954-19,,BASSETT.type
BASSETT-suhmkrieger1954-20,,BASSETT.type
BASSETT-suhmkrieger1954-21,,BASSETT.type
BASSETT-suhmkrieger1954-22,,BASSETT.type
BASSETT-suhmkrieger1954-23,,BASSETT.type
BASSETT-suhmkrieger1954-24,,BASSETT.type
BASSETT-suhmkrieger1954-25,,BASSETT.type
BASSETT-suhmkrieger1954-26,,BASSETT.type
BASSETT-suhmkrieger1954-27,,BASSETT.type
BASSETT-suhmkrieger1954-28,,BASSETT.type
BASSETT-suhmkrieger1954-29,,BASSETT.type
F7.2.B,41hs15,male
F7.2.C,41hs15,male
F7.2.D,41hs15,male
F7.2.F,41hs15,male
F7.2.G,41hs15,male
F7.2.H,41hs15,male
F7.2.J,41hs15,male
F7.2.K,41hs15,male
F7.2.L,41hs15,male
F7.2.M,41hs15,male
F7.2.N,41hs15,male
F7.2.O,41hs15,male
F7.2.Q,41hs15,male
F7.2.R,41hs15,male
F7.2.S,41hs15,male
F7.3.A,41hs15,male
F7.3.B,41hs15,male
F7.3.C,41hs15,male
F7.3.D,41hs15,male
F7.3.E,41hs15,male
F7.3.F,41hs15,male
F7.3.G,41hs15,male
F7.3.H,41hs15,male
F7.3.I,41hs15,male
F7.3.J,41hs15,male
F7.3.K,41hs15,male
F7.3.L,41hs15,male
F7.3.M,41hs15,male
F7.3.N,41hs15,male
F7.3.O,41hs15,male
F7.3.P,41hs15,male
F7.3.Q,41hs15,male
F7.3.R,41hs15,male
F7.3.S,41hs15,male
F7.3.T,41hs15,male
F7.3.U,41hs15,male
F7.3.V,41hs15,male
F7.3.W,41hs15,male
F7.3.X,41hs15,male
F7.3.Y,41hs15,male
F7.3.Z,41hs15,male
F7.3.AA,41hs15,male
