spec,trinomial,sex
41cp5-616,41cp5,male
41cp5-617,41cp5,male
41cp5-618,41cp5,male
41cp5-619,41cp5,male
41cp5-620,41cp5,male
41cp5-621,41cp5,male
41cp5-622,41cp5,male
41cp5-623,41cp5,female
41cp5-624,41cp5,male
41cp5-625,41cp5,male
41cp5-626,41cp5,male
41cp5-627,41cp5,male
41cp5-628,41cp5,male
41cp5-629,41cp5,male
41cp5-630,41cp5,male
41cp5-631,41cp5,male
41cp5-632,41cp5,male
41cp5-633,41cp5,male
41cp5-634,41cp5,female
41cp5-635,41cp5,male
41cp5-636,41cp5,male
41cp5-637,41cp5,male
41cp5-638,41cp5,male
41cp5-639,41cp5,male
41cp5-640,41cp5,male
41cp5-641,41cp5,male
41cp5-642,41cp5,male
41cp5-643,41cp5,male
41cp5-644,41cp5,male
41cp5-663,41cp5,female
MAUD-davis1991-1,,MAUD.type
MAUD-davis1991-2,,MAUD.type
MAUD-davis1991-3,,MAUD.type
MAUD-davis1991-4,,MAUD.type
MAUD-davis1991-5,,MAUD.type
MAUD-davis1991-6,,MAUD.type
MAUD-davis1991-7,,MAUD.type
MAUD-davis1991-8,,MAUD.type
MAUD-davis1991-9,,MAUD.type
MAUD-suhmjelks1962-a,,MAUD.type
MAUD-suhmjelks1962-b,,MAUD.type
MAUD-suhmjelks1962-c,,MAUD.type
MAUD-suhmjelks1962-d,,MAUD.type
MAUD-suhmjelks1962-e,,MAUD.type
MAUD-suhmjelks1962-f,,MAUD.type
MAUD-suhmjelks1962-g,,MAUD.type
MAUD-suhmjelks1962-h,,MAUD.type
MAUD-suhmjelks1962-i,,MAUD.type
MAUD-suhmjelks1962-j,,MAUD.type
MAUD-suhmjelks1962-k,,MAUD.type
MAUD-suhmjelks1962-l,,MAUD.type
MAUD-suhmkrieger1954-1,,MAUD.type
MAUD-suhmkrieger1954-2,,MAUD.type
MAUD-suhmkrieger1954-3,,MAUD.type
MAUD-suhmkrieger1954-4,,MAUD.type
MAUD-suhmkrieger1954-5,,MAUD.type
MAUD-suhmkrieger1954-6,,MAUD.type
MAUD-suhmkrieger1954-7,,MAUD.type
MAUD-suhmkrieger1954-8,,MAUD.type
MAUD-suhmkrieger1954-9,,MAUD.type
MAUD-suhmkrieger1954-10,,MAUD.type
MAUD-suhmkrieger1954-11,,MAUD.type
MAUD-suhmkrieger1954-12,,MAUD.type
MAUD-suhmkrieger1954-13,,MAUD.type
MAUD-suhmkrieger1954-14,,MAUD.type
MAUD-suhmkrieger1954-15,,MAUD.type
MAUD-suhmkrieger1954-16,,MAUD.type
MAUD-suhmkrieger1954-17,,MAUD.type
MAUD-suhmkrieger1954-18,,MAUD.type
MAUD-suhmkrieger1954-19,,MAUD.type
MAUD-suhmkrieger1954-20,,MAUD.type
MAUD-turnerhester1985-1,,MAUD.type
MAUD-turnerhester1985-2,,MAUD.type
MAUD-turnerhester1985-3,,MAUD.type
MAUD-turnerhester2011-1,,MAUD.type
MAUD-turnerhester2011-2,,MAUD.type
MAUD-turnerhester2011-3,,MAUD.type
MAUD-turnerhester2011-4,,MAUD.type
MAUD-turnerhester2011-5,,MAUD.type
MAUD-turnerhester2011-6,,MAUD.type
MAUD-turnerhester2011-7,,MAUD.type
MAUD-turnerhester2011-8,,MAUD.type
MAUD-turnerhester2011-9,,MAUD.type
MAUD-turnerhester2011-10,,MAUD.type
MAUD-turnerhester2011-11,,MAUD.type
MAUD-turnerhester2011-12,,MAUD.type
TALCO-davis1991-1,,TALCO.type
TALCO-davis1991-2,,TALCO.type
TALCO-davis1991-3,,TALCO.type
TALCO-davis1991-4,,TALCO.type
TALCO-davis1991-5,,TALCO.type
TALCO-davis1991-6,,TALCO.type
TALCO-davis1991-7,,TALCO.type
TALCO-davis1991-8,,TALCO.type
TALCO-davis1991-9,,TALCO.type
TURNEY-davis1991-1,,TURNEY.type
TURNEY-davis1991-2,,TURNEY.type
TURNEY-davis1991-3,,TURNEY.type
TURNEY-davis1991-4,,TURNEY.type
TURNEY-davis1991-5,,TURNEY.type
TURNEY-davis1991-6,,TURNEY.type
TURNEY-davis1991-7,,TURNEY.type
TURNEY-davis1991-8,,TURNEY.type
TURNEY-davis1991-9,,TURNEY.type
TALCO-turnerhester1985-1,,TALCO.type
TALCO-turnerhester1985-2,,TALCO.type
TALCO-turnerhester1985-3,,TALCO.type
TURNEY-turnerhester1985-1,,TURNEY.type
TURNEY-turnerhester1985-2,,TURNEY.type
TURNEY-turnerhester1985-3,,TURNEY.type
TURNEY-suhmjelks1962-b,,TURNEY.type
TURNEY-suhmjelks1962-c,,TURNEY.type
TURNEY-suhmjelks1962-d,,TURNEY.type
TURNEY-suhmjelks1962-f,,TURNEY.type
TURNEY-suhmjelks1962-g,,TURNEY.type
TURNEY-suhmjelks1962-h,,TURNEY.type
TURNEY-suhmjelks1962-i,,TURNEY.type
TURNEY-turnerhester1993-1,,TURNEY.type
TURNEY-turnerhester1993-2,,TURNEY.type
TURNEY-turnerhester2011-1,,TURNEY.type
TURNEY-turnerhester2011-2,,TURNEY.type
TURNEY-turnerhester2011-3,,TURNEY.type
TURNEY-turnerhester2011-4,,TURNEY.type
TURNEY-turnerhester2011-5,,TURNEY.type
TURNEY-turnerhester2011-6,,TURNEY.type
TURNEY-turnerhester2011-7,,TURNEY.type
TALCO-suhmjelks1962-1,,TALCO.type
TALCO-suhmjelks1962-2,,TALCO.type
TALCO-suhmjelks1962-3,,TALCO.type
TALCO-suhmjelks1962-4,,TALCO.type
TALCO-suhmjelks1962-5,,TALCO.type
TALCO-suhmjelks1962-6,,TALCO.type
TALCO-suhmjelks1962-7,,TALCO.type
TALCO-suhmjelks1962-8,,TALCO.type
TALCO-suhmjelks1962-9,,TALCO.type
TALCO-suhmjelks1962-10,,TALCO.type
TALCO-suhmjelks1962-11,,TALCO.type
TALCO-suhmjelks1962-12,,TALCO.type
TALCO-turnerhester1993-1,,TALCO.type
TALCO-turnerhester1993-3,,TALCO.type
TALCO-turnerhester1993-2,,TALCO.type
TALCO-turnerhester2011-1,,TALCO.type
TALCO-turnerhester2011-2,,TALCO.type
TALCO-turnerhester2011-3,,TALCO.type
TALCO-turnerhester2011-4,,TALCO.type
TALCO-turnerhester2011-5,,TALCO.type
TALCO-turnerhester2011-6,,TALCO.type
TALCO-turnerhester2011-7,,TALCO.type
TALCO-turnerhester2011-8,,TALCO.type
TALCO-turnerhester2011-9,,TALCO.type
TALCO-turnerhester2011-10,,TALCO.type
TALCO-turnerhester2011-11,,TALCO.type
TALCO-turnerhester2011-12,,TALCO.type
TURNEY-suhmkrieger1954-1,,TURNEY.type
TURNEY-suhmkrieger1954-2,,TURNEY.type
TURNEY-suhmkrieger1954-3,,TURNEY.type
TURNEY-suhmkrieger1954-4,,TURNEY.type
TURNEY-suhmkrieger1954-5,,TURNEY.type
TURNEY-suhmkrieger1954-6,,TURNEY.type
TURNEY-suhmkrieger1954-7,,TURNEY.type
TURNEY-turnerhester1999-1,,TURNEY.type
TURNEY-turnerhester1999-2,,TURNEY.type
TALCO-turnerhester1999-1,,TALCO.type
TALCO-turnerhester1999-2,,TALCO.type
TALCO-turnerhester1999-3,,TALCO.type
TALCO-suhmkrieger1954-1,,TALCO.type
TALCO-suhmkrieger1954-2,,TALCO.type
TALCO-suhmkrieger1954-3,,TALCO.type
TALCO-suhmkrieger1954-4,,TALCO.type
TALCO-suhmkrieger1954-5,,TALCO.type
TALCO-suhmkrieger1954-6,,TALCO.type
TALCO-suhmkrieger1954-7,,TALCO.type
TALCO-suhmkrieger1954-8,,TALCO.type
TALCO-suhmkrieger1954-9,,TALCO.type
TALCO-suhmkrieger1954-10,,TALCO.type
TALCO-suhmkrieger1954-11,,TALCO.type
TALCO-suhmkrieger1954-12,,TALCO.type
TALCO-suhmkrieger1954-13,,TALCO.type
TALCO-suhmkrieger1954-14,,TALCO.type
TALCO-suhmkrieger1954-15,,TALCO.type
TALCO-suhmkrieger1954-16,,TALCO.type
TALCO-suhmkrieger1954-17,,TALCO.type
TALCO-suhmkrieger1954-18,,TALCO.type
TALCO-suhmkrieger1954-19,,TALCO.type
TALCO-suhmkrieger1954-20,,TALCO.type
TALCO-suhmkrieger1954-21,,TALCO.type
TALCO-suhmkrieger1954-22,,TALCO.type
TALCO-suhmkrieger1954-23,,TALCO.type
TALCO-suhmkrieger1954-24,,TALCO.type
TALCO-suhmkrieger1954-25,,TALCO.type
TALCO-suhmkrieger1954-26,,TALCO.type
TALCO-suhmkrieger1954-27,,TALCO.type
TALCO-suhmkrieger1954-28,,TALCO.type
TALCO-suhmkrieger1954-29,,TALCO.type
TALCO-suhmkrieger1954-30,,TALCO.type
TALCO-suhmkrieger1954-31,,TALCO.type
MAUD-turnerhester1999-1,,MAUD.type
MAUD-turnerhester1999-2,,MAUD.type
MAUD-turnerhester1999-3,,MAUD.type
